title	name	floor	money	size	location	url
新上金色两居室 中间位置 中间楼层 业主换房急 售	金色漫香苑	中层(共8层)	400	88㎡	北七家-昌平区北七家镇天权路2号院(天权路与东北路交汇处东南角)	http://esf.fang.com/chushou/3_391974814.htm
纳帕溪谷 老街户型 大花园 精装修 四面采光 满五	纳帕溪谷	低层(共2层)	1600	508㎡	小汤山-温榆河小汤山镇常兴庄村	http://esf.fang.com/chushou/10_392114687.htm
三期次邻水 2200㎡南向花园 二次装修一般不住	碧水庄园	低层(共1层)	4299	741㎡	沙河-沙河镇豆各庄村(京藏高速20号出口向前行驶50米即到)	http://esf.fang.com/chushou/10_389608421.htm
700平花园+临水系+全地上格局+北入户南花园+采光好	东方普罗旺斯	低层(共2层)	2549	465㎡	北七家-北七家出口1000米定泗路88号	http://esf.fang.com/chushou/10_390716548.htm
一手新盘+精装修独栋+北京壹号庄园+融创打造+670到1500平	北京壹号庄园	低层(共3层)	4950	793㎡	"北七家-北七家镇定泗路88号,京承高速北七家出口直行约1000米"	http://esf.fang.com/chushou/10_388854796.htm
本周新出!新出!碧水三期新出!精装修千平花园大独栋!	碧水庄园	低层(共3层)	4499	741㎡	沙河-沙河镇豆各庄村(京藏高速20号出口向前行驶50米即到)	http://esf.fang.com/chushou/10_391969258.htm
京基鹭府 内部高层特价房 460平1860万 花园500平 急推	京基鹭府	低层(共3层)	1860	460㎡	"北七家-北京昌平定泗路,京承高速北七家出口以西1000米"	http://esf.fang.com/chushou/10_392271405.htm
东普前二后三+花园500㎡+精装我看过+北入户朝南临水+楼间距25米	东方普罗旺斯	低层(共3层)	3249	635㎡	北七家-北七家出口1000米定泗路88号	http://esf.fang.com/chushou/10_390705879.htm
"金色漫香苑3居,南北通透,独立住户,总价低,低总价,看房随时"	金色漫香苑	中层(共8层)	560	140㎡	北七家-昌平区北七家镇天权路2号院(天权路与东北路交汇处东南角)	http://esf.fang.com/chushou/3_390072286.htm
东方普罗旺斯 质房源845平 3600万 花园1000	东方普罗旺斯	低层(共2层)	3600	850㎡	北七家-北七家出口1000米定泗路88号	http://esf.fang.com/chushou/10_386622751.htm
地、铁旁复式4.2米+住总万科联合开发+南北通透+一期优惠多多速度	朱辛庄新村	中层(共18层)	170	50㎡	回龙观-回龙观镇北清路北侧	http://esf.fang.com/chushou/3_382965849.htm
"领秀慧谷高层大两居,视野好落地窗。南北通透,满五"	领秀慧谷	高层(共5层)	345	85㎡	"回龙观-京藏高速(原八达岭高速)和北清路交汇处,辛庄桥的东北角"	http://esf.fang.com/chushou/3_385595423.htm
天通苑东二区 3室2厅2卫	天通苑东二区	中层(共7层)	475	129㎡	天通苑-天通苑社区东南角部	http://esf.fang.com/chushou/3_388577123.htm
天通苑东二区 2室1厅1卫	天通苑东二区	中层(共17层)	365	99㎡	天通苑-天通苑社区东南角部	http://esf.fang.com/chushou/3_390166592.htm
王 府花园台地联排165平米700万 70产权可贷款可按揭	王府花园别墅	低层(共6层)	700	165㎡	北七家-北七家镇王府街7号	http://esf.fang.com/chushou/10_392049758.htm
"品质豪宅,三卧朝南,精装花园 870万拎包即住!!!"	顺驰林溪	低层(共2层)	870	207㎡	百善镇-百善镇顺沙路北侧	http://esf.fang.com/chushou/10_392175452.htm
"王花园新出联排,精装修,带花园,业主在家,看房基本随时"	王府花园别墅	低层(共2层)	682	161㎡	北七家-北七家镇王府街7号	http://esf.fang.com/chushou/10_392194525.htm
王府花园独栋别墅 报价1600万 改装房 欧式装修	王府花园别墅	低层(共2层)	1550	300㎡	北七家-北七家镇王府街7号	http://esf.fang.com/chushou/10_392285740.htm
"坐北朝南,独栋前二后三格局,毛坯房,楼间距大,视野好。"	东方普罗旺斯	低层(共16层)	4400	837㎡	北七家-北七家出口1000米定泗路88号	http://esf.fang.com/chushou/10_392327773.htm
"保利垄上下叠:把边户型,样板间,餐厅挑空,三卧室朝南!"	保利垄上	低层(共1层)	1000	333㎡	小汤山-小汤山镇南侧立汤路9号	http://esf.fang.com/chushou/10_389895206.htm
南环里+采光好+无遮挡+车位充足+ 月供少 +带钥匙看房随时	南环里	高层(共6层)	220	56㎡	昌平县城-南环路与鼓楼南街交汇处东北角	http://esf.fang.com/chushou/3_391638142.htm
送精装修+两条地下交通+万科名企临街全业态商业+、层+送、一	朱辛庄新村	高层(共18层)	320	120㎡	回龙观-回龙观镇北清路北侧	http://esf.fang.com/chushou/3_381727215.htm
(幸福我家)南向一居室 刚需 满五年一套 价格可谈随时看房	天通苑东一区	高层(共6层)	326	55㎡	天通苑-昌平区太平庄东一路16号(太平庄东路与太平庄中一街交汇处东南)	http://esf.fang.com/chushou/3_388574355.htm
天通苑东一区 3室1厅1卫	天通苑东一区	高层(共33层)	430	156㎡	天通苑-昌平区太平庄东一路16号(太平庄东路与太平庄中一街交汇处东南)	http://esf.fang.com/chushou/3_390166559.htm
东关南里+成熟社区+中楼层+60平米230万卖+满5	东关南里	中层(共6层)	230	62㎡	昌平县城-南环东路和亢山路交汇处西北角(北京化工大学北校区西侧)	http://esf.fang.com/chushou/3_391592704.htm
"远洋傲北,,业主花重金装修,"	远洋傲北	低层(共2层)	1250	330㎡	北七家-北七家立汤路39号(麦卡伦地北)	http://esf.fang.com/chushou/10_392402714.htm
"满二年、花园式电梯洋房,人车分流。不临街不把边,精装,送花厅"	金色漫香苑	中层(共8层)	400	88㎡	北七家-昌平区北七家镇天权路2号院(天权路与东北路交汇处东南角)	http://esf.fang.com/chushou/3_392370729.htm
"温哥华森林 送300平私家花园,钥匙房。车库入户、精装随时看房"	温哥华森林	低层(共2层)	1300	407㎡	"北七家-北五环外紧邻立汤路,北七家建材城向北第一个路口200米路东"	http://esf.fang.com/chushou/10_392370804.htm
"温哥华森林、精装联排边户,随时看房、满二年,随时入住。"	温哥华森林	低层(共3层)	1300	254㎡	"北七家-北五环外紧邻立汤路,北七家建材城向北第一个路口200米路东"	http://esf.fang.com/chushou/10_392371061.htm
金隅万科+可做2居+74.06平+南朝向+视野开阔+采光好	金隅万科城	高层(共22层)	285	74㎡	昌平县城-昌平城区南环路8号	http://esf.fang.com/chushou/3_391726426.htm
移民急售 中海尚湖世家 精致下叠 观景位置 只有契税 直降百万	中海尚湖世家	低层(共2层)	1100	348㎡	"沙河-昌平区沙河水库北岸,沙河大学城南侧"	http://esf.fang.com/chushou/10_391649372.htm
人民的名义 :精致联排 全南花园 之选 税少!!!	顺驰林溪	低层(共2层)	800	300㎡	百善镇-百善镇顺沙路北侧	http://esf.fang.com/chushou/10_391662079.htm
东关南里+2002年房+南北通透+全天采光+板楼3层+接受换房	东关南里	中层(共6层)	350	87㎡	昌平县城-南环东路和亢山路交汇处西北角(北京化工大学北校区西侧)	http://esf.fang.com/chushou/3_391648450.htm
精装南花园700平临水系+全地上格局+北入户南花园+半装修有钥匙	东方普罗旺斯	低层(共1层)	2549	465㎡	北七家-北七家出口1000米定泗路88号	http://esf.fang.com/chushou/10_391988426.htm
新新+宽敞三居+中高楼层+采光充足+看房方便	新新公寓	中层(共24层)	468	132㎡	昌平县城-政府街6号院(东环路与政府街路口西南角)	http://esf.fang.com/chushou/3_390540037.htm
满五年业主在京就这一套房子 婚房装修	温泉花园	低层(共6层)	350	105㎡	北七家-北七家镇东沙各庄村	http://esf.fang.com/chushou/3_392009588.htm
为你而选 融泽嘉园114平三居 商品房满两年 超低税费 靠谱急售!	融泽嘉园	低层(共33层)	530	114㎡	龙泽-西二旗北侧龙域中路金域华府北面	http://esf.fang.com/chushou/3_388202078.htm
"金科王府的一套下跃,品牌装修,典雅大气,品味不凡。"	金科王府洋房	低层(共9层)	980	137㎡	"小汤山-昌平顺沙路南侧,沙沟桥南侧"	http://esf.fang.com/chushou/3_389972333.htm
龙山华府+南北通透+朝南主卧带阳台+采光好+电梯房+房龄新	龙山华府	高层(共20层)	355	88㎡	昌平县城-北京市昌平区城南街道白浮泉路26号院	http://esf.fang.com/chushou/3_392153375.htm
西三区急 售 电梯板楼大三居 南北通透 视野没有遮挡450万	天通苑西三区	高层(共18层)	450	150㎡	天通苑-太平庄中二街与立汤路交汇处西北角	http://esf.fang.com/chushou/3_391453675.htm
